dow,vix,ford,oil,gold,corn,steel
18432.24,11.87,12.66,41.6,21.86,328.75,27.49
18456.35,12.72,12.71,41.14,21.27,329,26.9
18472.17,12.83,13.84,41.92,21.35,331.75,25.49
18473.75,13.05,13.86,42.92,20.45,331,22.95
18493.06,12.87,13.83,43.13,19.83,330.25,21.31
18570.85,12.02,13.84,44.19,20.55,326.75,21.16
18517.23,12.74,13.92,44.75,20.41,332.75,20.52
18595.03,11.77,13.74,44.94,19.91,335,20.38
18559.01,11.97,13.65,44.65,21.57,341.5,20.92
18533.05,12.44,13.65,45.24,21.61,348.25,21.72
18516.55,12.67,13.57,45.95,21.4,343,21.68
18506.41,12.82,13.59,45.68,21.47,360,21.28
18372.12,13.04,13.48,44.75,21.08,348.5,21.12
18347.67,13.55,13.45,46.8,20.62,339.75,21.11
18226.93,13.54,13.27,44.76,22.04,341.75,20.01
18146.74,13.2,13.09,45.41,22.32,336.75,19.03
17895.88,14.76,12.75,45.14,22.35,334.5,18.1
17918.62,14.96,12.57,47.43,23.16,333,17.95
17840.62,15.58,12.4,46.6,22.4,333.75,17.64
17949.37,14.77,12.72,48.99,22.21,352,18.27
17929.99,15.63,12.57,48.33,21.35,355.75,16.86
17694.68,16.64,12.55,49.88,20.77,372.25,15.97
17409.72,18.75,12.39,47.85,20.63,382.5,15.81
17140.24,23.85,12.16,46.33,21.11,383,15.15
17400.75,25.76,12.52,47.64,20.47,373.5,15.99
18011.07,17.25,13.4,50.11,19.35,384,18.04
17780.83,21.17,13.18,49.13,19.65,392.25,17.12
17829.73,18.48,13.22,48.85,19.16,396.25,17.4
17804.87,18.37,13.42,49.37,19.76,420.5,18.3
17675.16,19.41,13.26,47.98,20.11,423.5,17.98
17733.1,19.37,13.12,46.21,20.06,420.5,17.87
17640.17,20.14,13.01,48.01,20.5,428.5,17.64
17674.82,20.5,12.84,48.49,19.79,423.5,16.34
17732.48,20.97,12.98,48.88,20.22,427.5,17.1
17865.34,17.03,13.1,49.07,19.61,420,17.27
17985.19,14.64,13.26,50.56,19.58,423.25,17.44
18005.05,14.08,13.36,51.23,19.22,426.5,17.7
17938.28,14.05,13.38,50.36,18.82,422.5,15.93
17920.33,13.65,13.18,49.69,18.92,419.25,16.01
17807.06,13.47,13.04,48.62,19.18,410.5,15.28
17838.56,13.63,13.21,49.17,16.96,412.5,14.87
17789.67,14.2,13.11,49.01,16.9,401,14.07
17787.2,14.19,13.49,49.1,16.77,404,14.47
17873.22,13.12,13.45,49.33,16.62,406.5,14.38
17828.29,13.43,13.46,49.48,17.13,400,14.75
17851.51,13.9,13.52,49.56,17.28,395.75,14.28
17706.05,14.42,13.29,48.62,16.91,394.5,13.55
17492.93,15.82,13.13,48.08,17.91,391,13.82
17500.94,15.2,13.19,47.75,18.2,389,13.36
17435.4,16.33,13.09,48.16,18.15,385.5,13.46
17526.62,15.95,13.16,48.19,17.62,394,13.25
17529.98,15.57,13.14,48.31,19.37,391.75,14.13
17710.71,14.68,13.32,47.72,18.91,386.25,14.17
17535.32,15.04,13.22,46.21,18.41,380.25,13.98
17720.5,14.41,13.35,46.7,18.12,374.5,14.81
17711.12,14.69,13.32,46.23,18.44,371.75,16.52
17928.35,13.63,13.49,44.66,17.93,367,16.61
17705.91,14.57,13.32,43.44,17.39,367,16.23
17740.63,14.72,13.44,44.66,18.47,372.25,18.89
17660.71,15.91,13.32,44.32,17.87,368.5,18.95
17651.26,16.05,13.31,43.78,17.46,372.5,18.9
17750.91,15.6,13.43,43.65,18.38,375.75,18.95
17891.16,14.68,13.62,44.78,19.11,383.5,20.3
17773.64,15.7,13.56,45.92,19.37,385,19.11
17830.76,15.22,14.09,46.03,17.55,378.75,18.36
18041.55,13.77,13.66,45.33,16.61,377,18.52
17990.32,13.96,13.75,44.04,16.48,374,18.49
17977.24,14.08,13.58,42.64,16.11,368.5,18.25
18003.75,13.22,13.61,43.73,16.12,370.5,19.56
17982.52,13.95,13.65,43.18,16.34,383.25,19.66
18096.27,13.28,13.64,42.63,15.89,383.25,19.83
18053.6,13.24,13.44,41.08,16.32,380,20.04
18004.16,13.35,13.25,39.78,15.82,375,19.33
17897.46,13.62,12.94,40.36,15.64,372,19.24
17926.43,13.72,13.09,41.5,15.42,369.75,18.87
17908.28,13.84,13.06,41.76,16.05,363,19.02
17721.25,14.85,12.81,42.17,16.35,356.75,17.62
17556.41,16.26,12.66,40.36,16.31,356,17.33
17576.96,15.36,12.55,39.72,15.18,359,16.51
17541.96,16.16,12.52,37.26,14.52,357.5,16.01
17716.05,14.09,12.82,37.75,13.97,355,16.8
17603.32,15.42,12.77,35.89,14.01,353.5,16.24
17737,14.12,12.8,35.7,13.5,350.75,16.13
17792.75,13.1,13.1,36.79,13.65,347.25,16.55
17685.09,13.95,13.5,38.34,13.58,347.5,16.05
17716.66,13.56,13.35,38.32,13.74,366.75,16.46
17633.11,13.82,13.2,38.28,14.05,368.5,16.12
17535.39,15.24,13.09,39.39,13.61,367.75,15.57
17515.73,14.74,13.06,39.46,13.56,367.25,15.78
17502.59,14.94,13.26,39.79,13.27,366,14.84
17582.57,14.17,13.59,41.45,14.5,368.75,15.59
17623.87,13.79,13.66,39.91,14.69,365.75,15.15
17602.3,14.02,13.64,39.44,14.74,366,15.76
17481.49,14.44,13.47,40.2,14.78,366.5,15.42
17325.76,14.99,13.5,38.46,15.18,366,15.45
17251.53,16.84,13.23,36.34,14.19,366.25,14.28
17229.13,16.92,13.27,37.18,13.67,364.25,14.57
17213.31,16.5,13.29,38.5,13.95,362.25,14.53
16995.13,18.05,13.15,37.84,14.17,357.75,14.37
17000.36,18.34,13.19,38.29,13.69,356,12.53
16964.1,18.67,13.23,36.5,13.33,354.25,12.35
17073.95,17.35,13.62,37.9,13.86,354.5,13.57
17006.77,16.86,13.59,35.92,13.72,353.5,12.98
16943.9,16.7,13.54,34.57,13.91,351.75,12.35
16899.32,17.09,13.22,34.66,13.58,352.5,11.35
16865.08,17.7,13.09,34.4,13.27,353,9.19
16516.5,20.55,12.51,33.75,13.89,353,9.12
16639.97,19.81,12.47,32.78,13.53,352.5,8.31
16697.29,19.11,12.39,33.07,13.58,355,7.86
16484.99,20.72,12.08,32.15,13.48,358.75,7.73
16431.78,20.98,12.42,31.87,13.54,361.5,8.04
16620.66,19.38,12.56,31.48,12.82,366.25,8.48
16391.99,20.53,12.1,29.64,12.56,364.75,8.1
16413.43,21.64,12.26,30.77,12.63,365.25,8.32
16453.83,22.31,12.27,30.66,11.89,362,8.56
16196.41,24.11,11.87,29.04,11.59,359,7.49
15973.84,25.4,11.55,29.44,12.25,358.25,7.4
15660.18,28.14,11.17,26.21,11.97,358.5,6.83
15914.74,26.29,11.34,27.45,11.58,359.25,7.08
16014.38,26.54,11.35,27.94,11.22,359.25,7.34
16027.05,26,11.59,29.69,11.91,361.5,7.77
16204.97,23.38,11.45,30.89,11.64,365.5,7.94
16416.58,21.84,11.53,31.72,11.18,368,8.24
16336.66,21.65,11.46,32.28,10.73,370.25,7.53
16153.54,21.98,11.51,29.88,9.86,369,7.09
16449.18,19.98,12.07,31.62,10.07,367.75,7.26
16466.3,20.2,11.94,33.62,9.91,365,7
16069.64,22.42,11.71,33.22,9.66,365,6.69
15944.46,23.11,11.85,32.3,9.84,367.5,6.67
16167.23,22.5,12.26,31.45,9.53,367,7.77
15885.22,24.15,11.98,30.34,9.27,368,6.92
16093.51,22.34,12.14,32.19,8.58,366.5,7.24
15882.68,26.69,12.01,29.53,8.33,365.5,7.32
15766.74,27.59,11.9,26.55,8.11,365.25,7.1
16016.02,26.05,11.95,28.46,7.59,364,7.21
15988.08,27.02,11.97,29.42,7.9,356,6.89
16379.05,23.95,12.19,31.2,7.58,355.5,7.3
16151.41,25.22,12.2,30.48,8.04,355.5,6.74
16516.22,22.47,12.85,30.44,7.9,349.5,6.89
16398.57,24.3,12.77,31.41,8.15,349.5,6.82
16346.45,27.01,12.54,33.16,8.42,352.75,7.04
16514.1,24.99,12.7,33.27,8.75,348.5,7.3
16906.51,20.59,13.11,33.97,7.94,350.25,7.93
17158.66,19.34,13.72,35.97,7.65,351.75,8.22
17148.94,20.7,13.97,36.76,7.75,350.5,8.14
17425.03,18.21,14.09,37.04,7.38,357.5,7.98
17603.87,17.29,14.17,36.6,7.37,358,8.14
17720.98,16.08,14.23,37.87,7.59,357,8.2
17528.27,16.91,14.18,36.81,7.53,360.5,8.3
17552.17,15.74,14.31,38.1,7.82,363.5,8.63
17602.61,15.57,14.36,37.5,7.66,364.5,8.66
17417.27,16.6,14.2,36.14,7.47,366,9.1
17251.62,18.7,13.73,34.74,7.47,369.75,8.42
17128.55,20.7,13.8,34.73,7.23,372.75,8.01
17495.84,18.94,13.98,34.95,6.94,362.5,7.43
17749.09,17.86,14.36,35.52,7.65,369.25,8.31
17524.91,20.95,13.87,37.35,7.1,375.75,8.48
17368.5,22.73,13.62,36.31,7.05,373.5,7.85
17265.21,24.39,13.64,35.62,7.75,372.75,8.25
17574.75,19.34,13.96,36.76,7.66,371.75,8.83
17492.3,19.61,13.89,37.16,7.73,368.5,7.88
17568,17.6,13.97,37.51,7.52,367.25,7.09
17730.51,15.84,14.12,37.65,7.69,368,7.09
17847.63,14.81,14.2,39.97,8.09,369.75,7.77
17477.67,18.11,13.98,41.08,7.57,361.25,7.78
17729.68,15.91,14.26,39.94,7.42,363.5,7.74
17888.35,14.67,14.56,41.85,7.6,364.5,8.09
17719.92,16.13,14.33,41.65,7.34,359.25,8.07
17813.39,15.12,14.53,41.71,7.11,358.75,8.08
17813.39,15.19,14.55,43.04,7.38,364,8.23
17812.19,15.93,14.55,42.87,7.38,364,8.1
17792.68,15.62,14.55,41.75,7.12,360,8
17823.81,15.47,14.6,40.39,7.19,362,8.7
17732.75,16.99,14.57,40.54,7.54,360.25,9.63
17737.16,16.85,14.46,40.75,7.23,358.5,9.7
17489.5,18.84,14.15,40.67,6.99,358.25,9.45
17483.01,18.16,14.04,41.74,7.63,357.25,9.81
17245.24,20.08,13.92,40.74,7.54,358,9.75
17448.07,18.37,14.04,41.75,7.55,359.25,9.68
17702.22,16.06,14.31,42.93,7.28,359.5,10.12
17758.21,15.29,14.28,44.21,7.2,356,10.81
17730.48,16.52,14.33,43.87,7.36,366.5,10.51
17910.33,14.33,14.52,44.29,7.05,370,10.91
17863.43,15.05,14.57,45.2,7.36,373.75,10.39
17867.58,15.51,14.65,46.32,7.57,376.5,11.06
17918.15,14.54,14.81,47.9,7.84,375.75,12.94
17828.76,14.15,14.75,46.14,7.76,376,12.82
17663.54,15.07,14.81,46.59,7.69,378.75,11.68
17755.8,14.61,14.73,46.06,7.82,375.5,11.25
17779.52,14.33,14.97,45.94,7.69,375.75,11.02
17581.43,15.43,14.89,43.2,7.55,379,10.71
17623.05,15.29,15.68,43.98,7.5,378,10.63
17646.7,14.46,15.67,44.6,7.75,375,11.73
17489.16,14.45,15.58,45.38,7.59,377.5,11.29
17168.61,16.7,15.41,45.2,7.51,375.5,10.85
17217.11,15.75,15.38,45.55,7.89,372,11.39
17230.54,14.98,15.36,45.89,7.56,372.5,12.06
17215.97,15.05,15.28,47.26,7.85,372.5,12.48
17141.75,16.05,15.22,46.38,8.16,375,12.53
16924.75,18.03,15.01,46.64,8.18,378.5,12.18
17081.89,17.67,14.94,46.66,7.46,379,11.87
17131.86,16.17,14.98,47.1,7.41,380.25,11.69
17084.49,17.08,14.97,49.63,7.61,381.5,12.38
17050.75,17.42,14.99,49.43,7.16,390.5,12.62
16912.29,18.4,14.75,47.81,7.24,393.75,12.29
16790.19,19.4,14.31,48.53,7.3,391.75,11.8
16776.43,19.54,14.19,46.26,6.85,388.75,11.43
16472.37,20.94,13.99,45.54,6.57,384,10.55
16272.01,22.55,13.67,44.74,6.19,385,9.91
16284.7,24.5,13.57,45.09,6.36,383.5,10.42
16049.13,26.83,13.15,45.23,6.21,385,10.45
16001.89,27.63,13.12,44.43,6.26,383.75,10.2
16314.67,23.62,13.53,45.7,6.57,381,10.79
16201.32,23.47,13.65,44.91,6.56,379.25,11.48
16279.89,22.13,13.68,44.48,5.94,379,11.23
16330.47,22.44,13.92,45.83,6.11,377.25,11.82
16510.19,20.14,14.32,46.68,6.58,375,12.9
16384.58,22.28,14.28,44.68,6.75,376.5,13.22
16674.74,21.14,14.6,46.9,6.84,379.25,13.79
16739.95,21.35,14.64,47.15,6.7,383,13.73
16599.85,22.54,14.31,44.59,6.25,388.75,13.54
16370.96,24.25,13.78,44,6.23,375,13.59
16433.09,23.2,13.71,44.63,6.35,357,14.1
16330.4,24.37,13.73,45.92,6.21,355.5,14.46
16253.57,26.23,13.53,44.15,6.27,353.25,14.69
16492.68,24.9,13.67,45.94,6.52,351,14.95
16102.38,27.8,13.56,46.05,6.41,346.75,15.06
16374.76,25.61,13.84,46.75,6.48,347.25,15.93
16351.38,26.09,13.87,46.25,6.69,351.25,16.33
16058.35,31.4,13.72,45.41,6.75,355.25,15.89
16528.03,28.43,13.87,49.2,6.95,359.75,16.38
16643.01,26.05,13.74,45.22,7.13,362.25,16.78
16654.77,26.1,13.56,42.56,6.84,360.25,16.89
16285.51,30.32,13.21,38.6,6.55,361.5,14.6
15666.44,36.02,12.9,39.31,6.99,363.75,14.33
15871.35,40.74,13.19,38.24,7.23,354,15.24
16459.75,28.03,13.86,40.45,8.01,364,15.91
16990.69,19.14,14.43,41.14,8.24,367,16.91
17348.73,15.25,14.77,40.8,7.9,365.75,17.03
17511.34,13.79,14.83,42.62,7.66,361.75,18.46
17545.18,13.02,14.68,41.87,7.87,361.25,19
17477.4,12.83,14.78,42.5,7.68,359.75,19.27
17408.25,13.49,14.71,42.23,7.77,355.25,19.11
17402.51,13.61,14.68,43.3,8.13,346.5,19.14
17402.84,13.71,14.7,43.08,7.68,376,19.48
17615.17,12.23,14.99,44.96,7.61,373.75,21.39
17373.38,13.39,14.8,43.87,7.04,366.5,20.53
17419.75,13.77,14.83,44.66,6.88,369.25,20.65
17540.47,12.51,14.8,45.15,6.54,367.5,19.87
17550.69,13,14.91,45.74,6.8,366.75,19.6
17598.2,12.56,14.94,45.17,6.7,365,19.79
17689.86,12.12,14.83,47.12,7.06,369.25,19.47
17745.98,12.13,15.1,48.52,7.05,365.75,20.09
17751.39,12.5,15.21,48.79,7.23,367,20.04
17630.27,13.44,14.83,47.98,6.89,370,17.73
17440.59,15.6,14.55,47.39,6.9,372.5,16.8
17568.53,13.74,14.39,48.14,7.25,392,16.25
17731.92,12.64,14.61,48.45,7.07,398.5,16.97
17851.04,12.12,14.42,49.19,7.36,399.75,17.19
17919.29,12.22,14.51,50.36,7.5,402.5,17.7
18100.41,12.25,14.57,50.15,7.41,404.5,17.72
18086.45,11.95,14.69,50.89,8.79,418.25,17.8
18120.25,12.11,14.57,50.91,9.24,428.25,18.01
18050.17,13.23,14.75,51.41,9.65,421,18.52
18053.58,13.37,14.81,53.04,9.89,423.25,19.92
17977.68,13.9,14.64,52.2,9.97,424,19.89
17760.41,16.83,14.48,52.74,10.11,418,18.93
17548.62,19.97,14.33,52.78,10.15,416.5,18.93
17515.42,19.66,14.37,51.65,10.3,411.75,19.16
17776.91,16.09,14.85,52.33,10.32,407.75,19.99
17683.58,17.01,14.79,52.53,10.85,409,19.67
17730.11,16.79,14.87,56.93,10.57,409.75,19.78
17757.91,16.09,14.99,56.96,10.45,403,20.51
17619.51,18.23,15.01,59.47,10.66,382.75,20.62
17596.35,18.85,15.02,58.33,10.78,381.75,20.9
17946.68,14.02,15.4,59.63,10.9,375.5,21.6
17890.36,14.01,15.44,59.7,10.99,363.5,22.04
17966.07,13.26,15.5,60.27,11.11,363.25,22.41
18144.07,12.11,15.29,61.01,11.16,360.5,22.91
18119.78,12.74,15.13,59.68,11.16,350.5,22.62
18015.95,13.96,15.11,59.61,11.48,351.75,23.14
18115.84,13.19,15.14,60.45,11.71,356,23.39
17935.74,14.5,15.02,59.92,11.54,353.75,23.52
17904.48,14.81,15,59.97,11.18,347.5,23.4
17791.17,15.39,15.05,59.52,11.47,346.75,23.31
17898.84,13.78,15.23,59.96,11.27,352.25,24.56
18039.37,12.85,15.28,60.77,11.27,354.5,24.26
18000.4,13.22,15.03,61.43,11.63,356.75,24.37
17764.04,14.47,14.88,60.14,11.53,362.5,24.68
17766.55,15.29,14.9,58.14,11.46,360.5,24.61
17849.46,14.21,14.78,59.13,11.47,359.75,24.9
17905.58,14.71,15.05,58,11.69,356.5,25.55
18076.27,13.66,15.2,59.64,11.99,357,25.64
18011.94,14.24,15.26,61.26,11.98,351.75,25.78
18040.37,13.97,15.36,60.2,11.82,348.25,23.89
18010.68,13.84,15.17,60.3,11.86,350,24.4
18126.12,13.31,15.29,57.68,12,348.25,24.42
18162.99,13.27,15.32,57.51,11.7,348.75,24.64
18041.54,14.06,15.19,58.03,11.71,354,24.42
18232.02,12.13,15.27,59.72,12.29,359.75,25.03
18285.74,12.11,15.51,60.72,12.44,359.75,23.91
18285.4,12.88,15.3,58.98,12.43,358.5,24.44
18312.39,12.85,15.5,57.26,12.47,360.25,24.31
18298.88,12.73,15.58,59.43,13.19,364,25.48
18272.56,12.38,15.48,59.69,13.12,362,26.07
18252.24,12.74,15.27,59.88,13.18,356,26.04
18060.49,13.76,15.41,60.5,13.25,352.75,26.33
18068.23,13.86,15.56,60.75,12.83,355.25,25.8
18105.17,13.85,15.65,59.25,12.78,357,25.58
18191.11,12.86,15.67,59.39,12.75,356.5,24.32
17924.06,15.13,15.51,58.94,12.69,357.25,23.81
17841.98,15.15,15.48,60.93,12.63,361.75,24.07
17928.2,14.31,15.53,60.4,13.11,354,24.01
18070.4,12.85,15.78,58.93,13.17,356.75,23.74
18024.06,12.7,15.81,59.15,13.07,357.5,23.26
17840.52,14.55,15.8,59.63,13.02,360,24.02
18035.53,13.39,16.02,58.58,13.51,359.5,23.67
18110.14,12.41,16.06,57.06,13.3,359,26.78
18037.97,13.12,15.9,56.99,12.8,360.5,26.26
18080.14,12.29,15.77,57.15,12.52,363.75,26.78
18058.69,12.48,15.76,57.74,12.64,370.25,26.95
18038.27,12.71,15.91,56.16,12.37,369.25,25.78
17949.59,13.25,15.82,55.26,12.81,371.25,25.85
18034.93,13.3,15.91,56.38,12.75,375.75,25.55
17826.3,13.89,15.76,55.74,12.76,375,25.42
18105.77,12.6,15.94,56.71,12.65,373,26.15
18112.61,12.84,16.07,56.39,12.85,370.5,27.33
18036.7,13.67,15.97,53.29,12.51,370,25.9
17977.04,13.94,15.87,51.91,12.36,370.25,24.86
18057.65,12.58,16.03,51.64,12.68,374.25,24.72
17958.73,13.09,15.95,50.79,12.42,375,25.12
17902.51,13.98,15.98,50.42,12.32,376.75,24.22
17875.42,14.78,15.9,53.98,12.36,382,24.65
17880.85,14.74,16,52.14,12.61,383.5,24.5
17763.24,14.67,16.03,49.14,11.88,378.25,24.66
17698.18,15.11,15.91,50.09,12.01,374,23.85
17776.12,15.29,16.14,47.6,10.96,375.5,24.4
17976.31,14.51,16.16,48.68,11.14,390,25.44
17712.66,15.07,15.98,48.87,11.29,389.25,24.78
17678.23,15.8,16.01,51.43,11.29,389.25,24.84
17718.54,15.44,16.18,49.21,11.36,391.5,24.81
18011.14,13.62,16.56,47.51,11.37,388.5,24.69
18116.04,13.41,16.57,47.45,11.4,385,24.19
18127.65,13.02,16.48,45.72,11.1,372.75,23.18
17959.03,14.07,16.34,43.96,10.89,370.5,22.13
18076.19,13.97,16.46,44.66,10.97,367,23.83
17849.08,15.66,16.39,43.46,10.33,370,22.22
17977.42,15.61,16.49,43.88,10.56,375.5,21.96
17749.31,16,16.2,44.84,10.6,374,21.8
17895.22,15.42,16.17,47.05,10.66,380,22.63
17635.39,16.87,15.75,48.17,10.89,381.5,22.59
17662.94,16.69,15.72,48.29,10.68,377,22.05
17995.72,15.06,16.03,50,10.8,379.25,22.57
17856.78,15.2,15.93,49.61,11.34,376.5,23.03
18135.72,14.04,16.11,50.76,12.19,380,24.01
18096.9,14.23,16.03,51.53,12.15,378,23.24
18203.37,13.86,16.17,50.52,12.51,375.75,22.67
18288.63,13.04,16.57,49.59,12.76,377.5,23.82
18132.7,13.34,16.34,49.76,13.02,377,23.95
18214.42,13.91,16.38,48.17,12.76,375,24.23
18224.57,13.84,16.51,50.99,12.78,371.5,24.91
18209.19,13.69,16.36,49.28,12.58,377.5,25.13
18116.84,14.56,16.38,49.45,12.71,377.5,24.28
18140.44,14.3,16.4,50.34,12.89,383.5,24.62
17985.77,15.29,16.43,51.16,12.82,382.25,24.55
18029.85,15.45,16.21,52.14,12.23,383,25.45
18047.58,15.8,16.11,53.53,12.03,385,26.11
18019.35,14.69,16.3,52.78,12.14,382.25,26.36
17972.38,15.34,16.36,51.21,12.13,381.25,25.24
17862.14,16.96,16.25,48.84,11.94,384,24.42
17868.76,17.23,16.09,50.02,12.17,384.5,24.43
17729.21,18.55,15.92,52.86,12.5,383.5,24.55
17824.29,17.29,15.86,51.69,12.32,380,23.19
17884.88,16.85,15.85,50.48,13.06,381.5,23.43
17673.02,18.33,15.87,48.45,12.91,379.5,24.23
17666.4,17.33,15.65,53.05,12.68,370,25.7
17361.04,19.43,15.27,49.57,12.89,367.5,24.19
17164.95,20.97,14.71,48.24,12.78,365.75,24.44
17416.85,18.76,14.85,44.53,12.29,368,23.07
17191.37,20.44,14.46,44.45,12.61,373,23.58
17387.21,17.22,14.85,46.23,13.11,380,21.27
17678.7,15.52,15.08,45.15,12.69,382.25,21.33
17672.6,16.66,14.91,45.59,12.43,382,20.58
17813.98,16.4,15.03,46.31,12.79,382.5,22.71
17554.28,18.85,14.97,47.78,12.74,386.25,22.06
17515.23,19.89,15.01,46.39,12.53,382.25,21.58
17511.57,20.95,15.02,48.69,11.75,379.5,22.01
17320.71,22.39,14.86,46.25,11.37,376,21.61
17427.09,21.48,15.11,48.48,10.41,376,22.41
17613.68,20.56,15.21,45.89,10.68,384.5,22.9
17640.84,19.6,15.22,46.07,11.33,390,23.38
17737.37,17.55,15.21,48.36,10.99,393,24.57
17907.87,17.01,15.42,48.79,10.81,392.75,25.18
17584.52,19.31,15.04,48.65,11.12,396,24.64
17371.64,21.12,14.62,47.93,11.27,402.25,24.58
17501.65,19.92,14.76,50.04,10.9,394.5,25.35
17832.99,17.79,15.36,52.69,10.91,391.5,26.59
17823.07,19.2,15.5,53.27,10.75,396,26.74
17983.07,15.92,15.5,54.12,10.86,406,27.12
18038.23,15.06,15.52,53.61,10.48,410.75,26.9
18053.71,14.5,15.45,54.73,10.58,405.75,26.65
18024.17,14.8,15.33,57.12,10.17,410.5,26.4
17959.44,15.25,15.22,55.26,10.32,408.5,26.19
17804.8,16.49,15.03,56.52,10.83,405,28.59
17778.15,16.81,14.81,54.11,11.09,407,28.65
17356.87,19.44,14.45,56.47,10.76,403.5,28.68
17068.87,23.57,14.09,55.93,10.32,404,27.9
17180.84,20.42,14.28,55.91,10.45,405,27.71
17280.83,21.08,14.99,57.81,11.47,388,27.82
17596.34,20.08,15.28,59.95,11.82,382.5,28.54
17533.15,18.53,15.16,60.94,11.94,377.75,29.08
17801.2,15.35,15.43,63.82,12.06,374.75,31.04
17852.48,14.21,15.43,63.05,11.54,376.5,30.04
17958.79,11.89,15.7,65.84,11.56,372.25,32.1
17900.1,12.38,15.81,66.81,11.96,367.75,32.2
17912.62,12.5,16.01,67.38,12.33,364.25,32.36
17879.55,12.85,15.9,66.88,11.93,367.5,31.2
17776.8,14.16,15.77,69,12.41,370.25,31.16
17827.75,12.07,15.61,73.69,12.93,373.75,35.34
17814.94,12.25,15.68,74.09,12.9,366.25,35.84
17817.9,12.62,15.67,75.78,12.58,365.5,34.91
17810.06,12.9,15.43,76.51,12.85,369.75,34.69
17719,13.58,15.46,75.58,12.83,362.5,34.35
17685.73,13.96,15.44,74.58,12.46,362.75,34.38
17687.82,13.86,15.5,74.61,13.29,371.25,36
17647.75,13.99,15.54,75.64,12.47,374.25,36.11
17634.74,13.31,15.14,75.82,12.28,380.5,36.24
17652.79,13.79,14.93,74.21,11.51,377,35.25
17612.2,13.02,14.58,77.18,11.73,372.75,34.78
17614.9,12.92,14.37,77.94,11.64,365.5,35.06
17613.74,12.67,14,77.4,11.35,364.75,36.7
17573.93,13.12,14.17,78.65,12.16,364.25,37.57
17554.47,13.67,14.19,77.91,11.34,366.5,36.1
17484.53,14.17,13.94,78.68,10.97,359,36.36
17383.84,14.89,13.95,77.19,11.46,364,36.57
17366.24,14.73,13.99,78.78,11.92,370.5,39.14
17390.52,14.03,14.09,80.54,11.87,368,40.04
17195.42,14.52,13.95,81.12,12.29,371.5,38.94
16974.31,15.15,13.91,82.2,12.83,362.5,40.08
17005.75,14.39,14.16,81.42,13.52,361.25,38.15
16817.94,16.04,13.82,81,13.3,348.5,36.3
16805.41,16.11,13.78,81.01,13.52,352.25,36.92
16677.9,16.53,14.4,82.09,13.45,351,36.76
16461.32,17.87,14.13,80.52,13.39,352.25,35.24
16614.81,16.08,14.26,82.81,13.62,347,36.16
16399.67,18.57,14.17,82.71,13.68,342,33.97
16380.41,21.99,14.02,82.75,13.41,346.5,33.63
16117.24,25.2,13.98,82.7,13.78,345,32.88
16141.74,25.27,13.62,81.78,13.55,346.5,32.9
16315.19,22.79,13.78,81.84,13.67,343,32.8
16321.07,24.64,13.54,85.74,13.45,330.5,32.18
16544.1,21.24,13.79,85.82,13.48,332.5,32.55
16659.25,18.76,13.84,85.77,13.93,340.75,33.9
16994.22,15.11,14.21,87.31,14.37,337.5,36.58
16719.39,17.2,14.1,88.85,13.66,330.5,35.54
16991.91,15.46,14.52,90.34,14.24,323.25,35.73
17009.69,14.55,14.59,89.74,14.16,321,36.34
16801.05,16.16,14.56,91.01,14.7,319.25,36.9
16804.71,16.71,14.59,90.73,14.75,318.25,37.13
17042.9,16.31,14.79,91.16,14.66,319.5,39.17
17071.22,15.98,15.11,94.57,15,322,40.63
17113.15,14.85,16.33,93.54,15.24,322.75,41.5
16945.8,15.64,16.2,92.53,15.42,325.25,41.77
17210.06,13.27,16.41,92.8,15.33,324.75,42.71
17055.87,14.93,16.17,91.56,15.54,325.25,43.9
17172.68,13.69,16.36,91.52,15.41,326.75,43.85
17279.74,12.11,16.65,92.41,15.65,331.5,45.19
17265.99,12.03,16.58,93.07,16,338,46
17156.85,12.65,16.53,94.42,16.25,339.25,45.61
17131.97,12.73,16.52,94.88,16.57,338.75,41.41
17031.14,14.12,16.47,92.92,16.44,335.75,39.66
16987.51,13.31,16.59,92.27,16.52,330.25,39.92
17049,12.8,16.66,92.83,16.86,329,40.2
17068.71,12.88,16.63,91.67,16.74,335,38.38
17013.87,13.5,16.63,92.75,16.88,334.75,38.48
17111.42,12.66,16.8,92.66,16.74,336.75,39.49
17137.36,12.09,17.14,93.29,17.16,335.25,40.14
17069.58,12.64,17.27,94.45,17.02,333.5,40.15
17078.28,12.36,17.47,95.54,17.75,340.5,39.13
17067.56,12.25,17.6,92.88,17.86,355,38.14
17098.45,12.09,17.41,95.96,18.39,356,38.65
17079.57,12.05,17.42,94.55,18.22,354.75,37.55
17122.01,11.78,17.36,93.88,18.12,352.5,39.03
17106.7,11.63,17.19,93.86,18.25,353.5,39.49
17076.87,11.7,17.23,93.35,18.01,358.75,38.8
17001.22,11.47,17.17,93.65,18.24,361.25,37.81
17039.49,11.76,17.4,93.96,18.45,358,36.83
16979.13,11.78,17.41,96.07,18.72,356.25,37.42
16919.59,12.21,17.36,94.48,18.83,356.5,37.65
16838.74,12.32,17.43,96.41,19.01,359.75,37.88
16662.91,13.15,17.31,97.35,18.95,360.5,36.38
16713.58,12.42,17.43,95.58,19.12,355,36.84
16651.8,12.9,17.42,97.59,19.06,354.5,36.11
16560.54,14.13,17.21,97.37,19.18,347.75,35.68
